k1_m2,k2_m2,half_trace_x,half_trace_y,stable,qx_principal,qy_principal
11.875,,2.9881578486259595,-3.7144639870576532,False,,
11.879999999999999,,2.989501727340549,-3.7162906239371756,False,,
11.885000000000002,,2.9908456884814587,-3.7181171306698153,False,,
11.89,,2.992189732051094,-3.719943507259548,False,,
11.895,,2.9935338580518667,-3.72176975371035,False,,
11.900000000000002,,2.9948780664861854,-3.723595870026199,False,,
11.905000000000001,,2.99622235735646,-3.725421856211069,False,,
11.91,,2.9975667306650973,-3.7272477122689383,False,,
11.915,,2.998911186414509,-3.7290734382037822,False,,
11.920000000000002,,3.000255724607103,-3.730899034019576,False,,
11.925,,3.001600345245288,-3.7327244997202964,False,,
11.93,,3.002945048331476,-3.7345498353099202,False,,
11.935000000000002,,3.004289833868075,-3.7363750407924234,False,,
11.940000000000001,,3.0056347018574945,-3.738200116171779,False,,
11.945,,3.0069796523021433,-3.740025061451965,False,,
11.95,,3.008324685204432,-3.7418498766369566,False,,
11.955000000000002,,3.0096698005667717,-3.7436745617307308,False,,
11.96,,3.011014998391567,-3.7454991167372578,False,,
11.965,,3.012360278681233,-3.747323541660518,False,,
11.969999999999999,,3.013705641438176,-3.749147836504487,False,,
11.975000000000001,,3.0150510866648093,-3.750972001273138,False,,
11.98,,3.016396614363539,-3.7527960359704466,False,,
11.985,,3.0177422245367773,-3.7546199406003864,False,,
11.990000000000002,,3.0190879171869334,-3.7564437151669363,False,,
11.995000000000001,,3.0204336923164163,-3.758267359674067,False,,
12.0,,3.021779549927638,-3.760090874125753,False,,
12.004999999999999,,3.0231254900230073,-3.7619142585259735,False,,
12.010000000000002,,3.0244715126049355,-3.763737512878701,False,,
12.015,,3.0258176176758314,-3.765560637187909,False,,
12.02,,3.027163805238106,-3.767383631457573,False,,
12.025000000000002,,3.028510075294169,-3.7692064956916687,False,,
12.030000000000001,,3.029856427846431,-3.7710292298941677,False,,
12.035,,3.0312028628973033,-3.7728518340690465,False,,
12.04,,3.0325493804491943,-3.774674308220277,False,,
12.045000000000002,,3.0338959805045156,-3.776496652351838,False,,
12.05,,3.035242663065678,-3.7783188664676985,False,,
12.055,,3.036589428135091,-3.7801409505718357,False,,
12.060000000000002,,3.0379362757151673,-3.7819629046682217,False,,
12.065000000000001,,3.039283205808314,-3.78378472876083,False,,
12.07,,3.040630218416945,-3.7856064228536357,False,,
12.075,,3.0419773135434696,-3.787427986950613,False,,
12.080000000000002,,3.0433244911902997,-3.789249421055735,False,,
12.085,,3.0446717513598447,-3.791070725172975,False,,
12.09,,3.0460190940545147,-3.7928918993063054,False,,
12.094999999999999,,3.047366519276723,-3.7947129434597002,False,,
12.100000000000001,,3.04871402702888,-3.7965338576371352,False,,
12.105,,3.0500616173133945,-3.79835464184258,False,,
12.11,,3.05140929013268,-3.8001752960800097,False,,
12.115000000000002,,3.0527570454891473,-3.801995820353397,False,,
12.120000000000001,,3.0541048833852056,-3.8038162146667154,False,,
12.125,,3.055452803823267,-3.8056364790239363,False,,
12.129999999999999,,3.056800806805743,-3.807456613429033,False,,
12.135000000000002,,3.058148892335047,-3.809276617885981,False,,
12.14,,3.059497060413587,-3.8110964923987503,False,,
12.145,,3.060845311043775,-3.812916236971313,False,,
12.150000000000002,,3.062193644228024,-3.8147358516076437,False,,
12.155000000000001,,3.0635420599687437,-3.8165553363117146,False,,
12.16,,3.0648905582683463,-3.8183746910874943,False,,
12.165,,3.0662391391292436,-3.8201939159389613,False,,
12.170000000000002,,3.0675878025538474,-3.8220130108700854,False,,
12.175,,3.0689365485445683,-3.8238319758848363,False,,
12.18,,3.0702853771038185,-3.8256508109871885,False,,
12.185000000000002,,3.0716342882340095,-3.8274695161811136,False,,
12.190000000000001,,3.0729832819375544,-3.829288091470583,False,,
12.195,,3.0743323582168607,-3.8311065368595685,False,,
12.2,,3.0756815170743463,-3.8329248523520434,False,,
12.205000000000002,,3.0770307585124193,-3.8347430379519785,False,,
12.21,,3.0783800825334935,-3.8365610936633447,False,,
12.215,,3.0797294891399796,-3.838379019490115,False,,
12.219999999999999,,3.081078978334288,-3.8401968154362596,False,,
12.225000000000001,,3.0824285501188355,-3.8420144815057498,False,,
12.23,,3.083778204496029,-3.8438320177025584,False,,
12.235,,3.085127941468284,-3.845649424030655,False,,
12.240000000000002,,3.0864777610380125,-3.847466700494013,False,,
12.245000000000001,,3.0878276632076256,-3.8492838470966007,False,,
12.25,,3.089177647979536,-3.8511008638423907,False,,
12.254999999999999,,3.0905277153561563,-3.8529177507353527,False,,
12.260000000000002,,3.0918778653398986,-3.854734507779461,False,,
12.265,,3.0932280979331765,-3.8565511349786816,False,,
12.27,,3.0945784131383993,-3.858367632336989,False,,
12.275000000000002,,3.095928810957984,-3.8601839998583527,False,,
12.280000000000001,,3.0972792913943383,-3.8620002375467415,False,,
12.285,,3.098629854449878,-3.8638163454061276,False,,
12.29,,3.0999805001270158,-3.8656323234404812,False,,
12.295000000000002,,3.1013312284281644,-3.8674481716537743,False,,
12.3,,3.102682039355735,-3.8692638900499747,False,,
12.305,,3.104032932912141,-3.8710794786330527,False,,
12.310000000000002,,3.105383909099796,-3.872894937406979,False,,
12.315000000000001,,3.1067349679211125,-3.8747102663757262,False,,
12.32,,3.108086109378503,-3.876525465543259,False,,
12.325,,3.1094373334743803,-3.8783405349135496,False,,
12.330000000000002,,3.11078864021116,-3.8801554744905715,False,,
12.335,,3.1121400295912514,-3.881970284278289,False,,
12.34,,3.1134915016170686,-3.8837849642806734,False,,
12.344999999999999,,3.1148430562910274,-3.8855995145016955,False,,
12.350000000000001,,3.1161946936155376,-3.887413934945325,False,,
12.355,,3.117546413593015,-3.889228225615529,False,,
12.36,,3.1188982162258703,-3.891042386516279,False,,
12.365000000000002,,3.1202501015165214,-3.8928564176515454,False,,
12.370000000000001,,3.1216020694673765,-3.894670319025293,False,,
12.375,,3.1229541200808506,-3.8964840906414926,False,,
12.379999999999999,,3.124306253359359,-3.898297732504117,False,,
12.385000000000002,,3.1256584693053147,-3.9001112446171318,False,,
12.39,,3.1270107679211288,-3.901924626984505,False,,
12.395,,3.1283631492092177,-3.9037378796102074,False,,
12.400000000000002,,3.129715613171996,-3.9055510024982087,False,,
12.405000000000001,,3.131068159811872,-3.9073639956524735,False,,
12.41,,3.132420789131265,-3.9091768590769744,False,,
12.415,,3.133773501132586,-3.9109895927756764,False,,
12.420000000000002,,3.1351262958182495,-3.912802196752553,False,,
12.425,,3.13647917319067,-3.9146146710115657,False,,
12.43,,3.1378321332522603,-3.916427015556689,False,,
12.435000000000002,,3.1391851760054363,-3.9182392303918903,False,,
12.440000000000001,,3.14053830145261,-3.9200513155211336,False,,
12.445,,3.1418915095961952,-3.9218632709483887,False,,
12.45,,3.143244800438608,-3.9236750966776253,False,,
12.455000000000002,,3.144598173982262,-3.9254867927128125,False,,
12.46,,3.14595163022957,-3.9272983590579127,False,,
12.465,,3.147305169182946,-3.9291097957168963,False,,
12.469999999999999,,3.148658790844807,-3.930921102693733,False,,
12.475000000000001,,3.1500124952175677,-3.9327322799923925,False,,
12.48,,3.1513662823036395,-3.9345433276168333,False,,
12.485,,3.1527201521054353,-3.93635424557103,False,,
12.490000000000002,,3.1540741046253764,-3.938165033858951,False,,
12.495000000000001,,3.1554281398658706,-3.939975692484558,False,,
12.5,,3.1567822578293354,-3.94178622145182,False,,
12.504999999999999,,3.158136458518184,-3.9435966207647066,False,,
12.510000000000002,,3.1594907419348353,-3.9454068904271837,False,,
12.515,,3.160845108081699,-3.9472170304432197,False,,
12.52,,3.162199556961191,-3.9490270408167767,False,,
12.525000000000002,,3.1635540885757285,-3.9508369215518266,False,,
12.530000000000001,,3.1649087029277223,-3.9526466726523326,False,,
12.535,,3.1662634000195906,-3.954456294122264,False,,
12.54,,3.1676181798537484,-3.956265785965586,False,,
12.545000000000002,,3.168973042432609,-3.958075148186267,False,,
12.55,,3.1703279877585877,-3.959884380788269,False,,
12.555,,3.1716830158340987,-3.9616934837755626,False,,
12.560000000000002,,3.173038126661561,-3.963502457152114,False,,
12.565000000000001,,3.174393320243385,-3.965311300921887,False,,
12.57,,3.175748596581989,-3.9671200150888506,False,,
12.575,,3.1771039556797867,-3.968928599656967,False,,
12.580000000000002,,3.1784593975391946,-3.970737054630206,False,,
12.585,,3.1798149221626275,-3.972545380012531,False,,
12.59,,3.1811705295525,-3.97435357580791,False,,
12.594999999999999,,3.182526219711228,-3.9761616420203056,False,,
12.600000000000001,,3.1838819926412283,-3.977969578653688,False,,
12.605,,3.185237848344914,-3.9797773857120182,False,,
12.61,,3.186593786824702,-3.981585063199265,False,,
12.615000000000002,,3.187949808083009,-3.983392611119392,False,,
12.620000000000001,,3.1893059121222493,-3.985200029476365,False,,
12.625,,3.1906620989448378,-3.9870073182741503,False,,
12.629999999999999,,3.1920183685531924,-3.988814477516712,False,,
12.635000000000002,,3.1933747209497283,-3.9906215072080164,False,,
12.64,,3.19473115613686,-3.9924284073520266,False,,
12.645,,3.1960876741170035,-3.9942351779527088,False,,
12.650000000000002,,3.197444274892577,-3.99604181901403,False,,
12.655000000000001,,3.1988009584659927,-3.9978483305399504,False,,
12.66,,3.200157724839671,-3.9996547125344377,False,,
12.665,,3.201514574016026,-4.001460965001458,False,,
12.670000000000002,,3.2028715059974733,-4.003267087944973,False,,
12.675,,3.2042285207864283,-4.005073081368948,False,,
12.68,,3.2055856183853075,-4.006878945277347,False,,
12.685000000000002,,3.20694279879653,-4.008684679674138,False,,
12.690000000000001,,3.2083000620225093,-4.01049028456328,False,,
12.695,,3.209657408065663,-4.012295759948742,False,,
12.7,,3.211014836928406,-4.014101105834484,False,,
12.705000000000002,,3.2123723486131572,-4.015906322224474,False,,
12.71,,3.2137299431223294,-4.017711409122674,False,,
12.715,,3.215087620458342,-4.019516366533045,False,,
12.719999999999999,,3.216445380623611,-4.0213211944595555,False,,
12.725000000000001,,3.217803223620555,-4.023125892906169,False,,
12.73,,3.219161149451585,-4.0249304618768456,False,,
12.735,,3.220519158119123,-4.026734901375552,False,,
12.740000000000002,,3.221877249625585,-4.028539211406253,False,,
12.745000000000001,,3.2232354239733856,-4.030343391972909,False,,
12.75,,3.224593681164943,-4.0321474430794835,False,,
