name,source_type,survey_type,length_m,source_elemedge_m,entry_x_m,entry_z_m,exit_x_m,exit_z_m,gap_from_previous_m
sp2_rf,VARIABLE_RF_CAVITY,DRIFT,1.0,41.20736345,-19.97187504,30.89041027,-20.92293156,31.19942727,0.0
sp2_dr12,DRIFT,DRIFT,1.49995,42.20736345,-20.92293156,31.19942727,-22.34946878,31.66293731,0.0
sp2_qds,MULTIPOLET,DRIFT,0.4025011,43.70731345,-22.34946878,31.66293731,-22.73227007,31.78731699,0.0
sp2_dr13,DRIFT,DRIFT,0.49903145,44.10981455,-22.73227007,31.78731699,-23.20687718,31.94152619,0.0
sp3_dip1,MULTIPOLET,SBEND,4.4,44.608846,-23.20687718,31.94152619,-27.53485641,31.94152619,0.0
sp2_dr13a,DRIFT,DRIFT,0.525,49.008846,-27.53485641,31.94152619,-28.03416109,31.77929227,0.0
sp3_dr2a,DRIFT,DRIFT,0.2055,49.533846,-28.03416109,31.77929227,-28.2296032,31.71578927,0.0
sp3_dr2b,DRIFT,DRIFT,1.4875,49.739346,-28.2296032,31.71578927,-29.64429977,31.25612649,0.0
sp3_dr3a,DRIFT,DRIFT,0.207,51.226846,-29.64429977,31.25612649,-29.84116847,31.19215998,0.0
sp3_dr3b,DRIFT,DRIFT,0.6198996,51.433846,-29.84116847,31.19215998,-30.43072802,31.00060046,0.0
sp3_qd,MULTIPOLET,DRIFT,0.7302008,52.0537456,-30.43072802,31.00060046,-31.12519025,30.77495601,0.0
sp3_dr4,DRIFT,DRIFT,0.2031496,52.7839464,-31.12519025,30.77495601,-31.318397,30.71217933,0.0
sp3_qtd,MULTIPOLET,DRIFT,0.307,52.987096,-31.318397,30.71217933,-31.61037135,30.61731111,0.0
sp3_dr5,DRIFT,DRIFT,0.2030703,53.294096,-31.61037135,30.61731111,-31.80350268,30.55455894,0.0
sp3_qf,MULTIPOLET,DRIFT,0.7153594,53.4971663,-31.80350268,30.55455894,-32.4838499,30.33350073,0.0
sp3_dr6,DRIFT,DRIFT,0.2021203,54.2125257,-32.4838499,30.33350073,-32.67607773,30.27104212,0.0
sp3_qtf,MULTIPOLET,DRIFT,0.307,54.414646,-32.67607773,30.27104212,-32.96805208,30.1761739,0.0
sp3_dr7,DRIFT,DRIFT,2.82199945,54.721646,-32.96805208,30.1761739,-35.65193305,29.30412811,0.0
sp3_rf,VARIABLE_RF_CAVITY,DRIFT,1.0,57.54364545,-35.65193305,29.30412811,-36.60298956,28.99511112,0.0
sp3_dr12,DRIFT,DRIFT,1.49995,58.54364545,-36.60298956,28.99511112,-38.02952678,28.53160108,0.0
sp3_qds,MULTIPOLET,DRIFT,0.4025011,60.04359545,-38.02952678,28.53160108,-38.41232808,28.4072214,0.0
sp3_dr13,DRIFT,DRIFT,0.49903145,60.44609655,-38.41232808,28.4072214,-38.88693519,28.2530122,0.0
sp4_dip1,MULTIPOLET,SBEND,4.4,60.945128,-38.88693519,28.2530122,-42.38834394,25.70908984,0.0
sp4_dr1,DRIFT,DRIFT,1.0,65.345128,-42.38834394,25.70908984,-42.97612919,24.90007284,0.0
sp4_rf2,VARIABLE_RF_CAVITY,DRIFT,1.0,66.345128,-42.97612919,24.90007284,-43.56391444,24.09105585,0.0
sp4_dr2,DRIFT,DRIFT,1.0448996,67.345128,-43.56391444,24.09105585,-44.17809102,23.24571431,0.0
sp4_qd,MULTIPOLET,DRIFT,0.7302008,68.3900276,-44.17809102,23.24571431,-44.60729228,22.65496946,0.0
sp4_dr4,DRIFT,DRIFT,0.2031496,69.1202284,-44.60729228,22.65496946,-44.72670062,22.49061798,0.0
sp4_qtd,MULTIPOLET,DRIFT,0.307,69.323378,-44.72670062,22.49061798,-44.90715069,22.24224976,0.0
sp4_dr5,DRIFT,DRIFT,0.2030703,69.630378,-44.90715069,22.24224976,-45.02651242,22.07796244,0.0
sp4_qf,MULTIPOLET,DRIFT,0.7153594,69.8334483,-45.02651242,22.07796244,-45.44699012,21.49922453,0.0
sp4_dr6,DRIFT,DRIFT,0.2021203,70.5488077,-45.44699012,21.49922453,-45.56579346,21.33570577,0.0
sp4_qtf,MULTIPOLET,DRIFT,0.307,70.750928,-45.56579346,21.33570577,-45.74624353,21.08733755,0.0
sp4_dr7,DRIFT,DRIFT,2.82199945,71.057928,-45.74624353,21.08733755,-47.40497319,18.80429204,0.0
sp4_rf,VARIABLE_RF_CAVITY,DRIFT,1.0,73.87992745,-47.40497319,18.80429204,-47.99275844,17.99527504,0.0
sp4_dr12,DRIFT,DRIFT,1.49995,74.87992745,-47.99275844,17.99527504,-48.87440693,16.78179,0.0
sp4_qds,MULTIPOLET,DRIFT,0.4025011,76.37987745,-48.87440693,16.78179,-49.11099114,16.45615977,0.0
sp4_dr13,DRIFT,DRIFT,0.49903145,76.78237855,-49.11099114,16.45615977,-49.40431447,16.05243485,0.0
sp5_dip1,MULTIPOLET,SBEND,4.4,77.28141,-49.40431447,16.05243485,-50.7417336,11.936282,0.0
sp4_dr13a,DRIFT,DRIFT,0.525,81.68141,-50.7417336,11.936282,-50.7417336,11.411282,0.0
sp5_dr2a,DRIFT,DRIFT,0.2055,82.20641,-50.7417336,11.411282,-50.7417336,11.205782,0.0
sp5_dr2b,DRIFT,DRIFT,1.4875,82.41191,-50.7417336,11.205782,-50.7417336,9.718282,0.0
sp5_dr3a,DRIFT,DRIFT,0.207,83.89941,-50.7417336,9.718282,-50.7417336,9.511282,0.0
sp5_dr3b,DRIFT,DRIFT,0.6198996,84.10641,-50.7417336,9.511282,-50.7417336,8.8913824,0.0
sp5_qd,MULTIPOLET,DRIFT,0.7302008,84.7263096,-50.7417336,8.8913824,-50.7417336,8.1611816,0.0
sp5_dr4,DRIFT,DRIFT,0.2031496,85.4565104,-50.7417336,8.1611816,-50.7417336,7.958032,0.0
sp5_qtd,MULTIPOLET,DRIFT,0.307,85.65966,-50.7417336,7.958032,-50.7417336,7.651032,0.0
sp5_dr5,DRIFT,DRIFT,0.2030703,85.96666,-50.7417336,7.651032,-50.7417336,7.4479617,0.0
sp5_qf,MULTIPOLET,DRIFT,0.7153594,86.1697303,-50.7417336,7.4479617,-50.7417336,6.7326023,0.0
sp5_dr6,DRIFT,DRIFT,0.2021203,86.8850897,-50.7417336,6.7326023,-50.7417336,6.530482,0.0
sp5_qtf,MULTIPOLET,DRIFT,0.307,87.08721,-50.7417336,6.530482,-50.7417336,6.223482,0.0
sp5_dr7,DRIFT,DRIFT,2.82199945,87.39421,-50.7417336,6.223482,-50.7417336,3.40148255,0.0
sp5_rf2,VARIABLE_RF_CAVITY,DRIFT,1.0,90.21620945,-50.7417336,3.40148255,-50.7417336,2.40148255,0.0
sp5_dr12,DRIFT,DRIFT,1.49995,91.21620945,-50.7417336,2.40148255,-50.7417336,0.90153255,0.0
sp5_qds,MULTIPOLET,DRIFT,0.4025011,92.71615945,-50.7417336,0.90153255,-50.7417336,0.49903145,0.0
sp5_dr13,DRIFT,DRIFT,0.49903145,93.11866055,-50.7417336,0.49903145,-50.7417336,0.0,0.0
sp6_dip1,MULTIPOLET,SBEND,4.4,93.617692,-50.7417336,0.0,-49.40431447,-4.116152849,0.0
sp5_dr13a,DRIFT,DRIFT,0.525,98.017692,-49.40431447,-4.116152849,-49.09572721,-4.540886771,0.0
sp6_vbe,MULTIPOLET,DRIFT,0.2055,98.542692,-49.09572721,-4.540886771,-48.97493734,-4.707139763,0.0
sp6_dr2b,DRIFT,DRIFT,1.4875,98.748192,-48.97493734,-4.707139763,-48.10060678,-5.910552542,0.0
sp6_dr3a,DRIFT,DRIFT,0.207,100.235692,-48.10060678,-5.910552542,-47.97893523,-6.07801906,0.0
sp6_dr3b,DRIFT,DRIFT,0.6198996,100.442692,-47.97893523,-6.07801906,-47.61456739,-6.579528371,0.0
sp6_qd,MULTIPOLET,DRIFT,0.7302008,101.0625916,-47.61456739,-6.579528371,-47.18536612,-7.170273228,0.0
sp6_dr4,DRIFT,DRIFT,0.2031496,101.7927924,-47.18536612,-7.170273228,-47.06595779,-7.334624707,0.0
sp6_qtd,MULTIPOLET,DRIFT,0.307,101.995942,-47.06595779,-7.334624707,-46.88550771,-7.582992924,0.0
sp6_dr5,DRIFT,DRIFT,0.2030703,102.302942,-46.88550771,-7.582992924,-46.76614599,-7.747280248,0.0
sp6_qf,MULTIPOLET,DRIFT,0.7153594,102.5060123,-46.76614599,-7.747280248,-46.34566828,-8.326018159,0.0
sp6_dr6,DRIFT,DRIFT,0.2021203,103.2213717,-46.34566828,-8.326018159,-46.22686495,-8.489536917,0.0
sp6_qtf,MULTIPOLET,DRIFT,0.307,103.423492,-46.22686495,-8.489536917,-46.04641488,-8.737905134,0.0
sp6_dr7,DRIFT,DRIFT,2.82199945,103.730492,-46.04641488,-8.737905134,-44.38768522,-11.02095065,0.0
sp6_rf2,VARIABLE_RF_CAVITY,DRIFT,1.0,106.5524915,-44.38768522,-11.02095065,-43.79989997,-11.82996764,0.0
sp6_dr12,DRIFT,DRIFT,1.49995,107.5524915,-43.79989997,-11.82996764,-42.91825148,-13.04345268,0.0
sp6_qds,MULTIPOLET,DRIFT,0.4025011,109.0524415,-42.91825148,-13.04345268,-42.68166727,-13.36908291,0.0
sp6_dr13,DRIFT,DRIFT,0.49903145,109.4549426,-42.68166727,-13.36908291,-42.38834394,-13.77280784,0.0
sp7_dip1,MULTIPOLET,SBEND,4.4,109.953974,-42.38834394,-13.77280784,-38.88693519,-16.3167302,0.0
sp7_dr1,DRIFT,DRIFT,0.525,114.353974,-38.88693519,-16.3167302,-38.38763052,-16.47896412,0.0
sp7_dr2a,DRIFT,DRIFT,0.2055,114.878974,-38.38763052,-16.47896412,-38.19218841,-16.54246711,0.0
sp7_dr2b,DRIFT,DRIFT,1.4875,115.084474,-38.19218841,-16.54246711,-36.77749184,-17.00212989,0.0
sp7_dr3a,DRIFT,DRIFT,0.207,116.571974,-36.77749184,-17.00212989,-36.58062314,-17.06609641,0.0
sp7_dr3b,DRIFT,DRIFT,0.6198996,116.778974,-36.58062314,-17.06609641,-35.99106358,-17.25765592,0.0
sp7_qd,MULTIPOLET,DRIFT,0.7302008,117.3988736,-35.99106358,-17.25765592,-35.29660136,-17.48330038,0.0
sp7_dr4,DRIFT,DRIFT,0.2031496,118.1290744,-35.29660136,-17.48330038,-35.1033946,-17.54607706,0.0
