variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.036268019366e+00
dt_s,epsilon,3.000000000000e-05,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.888175532842e-01
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-1.461475616117e+00
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R16,2.411364274033e-02
dt_s,epsilon,3.000000000000e-05,0,3.000000000000e-13,1.000000000000e-13,abs_R26,-3.970077494707e-01
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.956528247608e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.986643061690e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.989049644580e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955665500293e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.010153211072e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.983047442788e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.981624245938e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,2.001075512997e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.096989287153e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.892310007066e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.924325014561e+00
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,1.994667533197e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,1.692718355424e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R16,2.103215872006e+00
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R26,8.657182442561e-01
dt_s,epsilon,1.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,1.181953875424e+00
