time_s,energy_MeV
3.4139519578876435e-06,131.64969900560212
3.4550839091876124e-06,132.33494382771767
3.4962158604875814e-06,133.2991426902131
3.5373478117875504e-06,133.98723425646526
3.5784797630875193e-06,134.6793414410022
3.6196117143874883e-06,135.65005529402168
3.6607436656874573e-06,136.34352605585937
3.7018756169874263e-06,137.0432258154258
3.7430075682873952e-06,138.0188904261533
3.784139519587364e-06,138.71960625722178
3.825271470887224e-06,140.12836585311035
3.86640342218677e-06,140.40326351696365
3.907535373486315e-06,141.11099737104797
3.948667324785861e-06,142.52761879941113
3.989799276085406e-06,142.80137340865815
4.030931227384952e-06,144.22557944591406
4.072063178684497e-06,144.940025172344
4.1131951299840425e-06,145.21224003267776
4.154327081283588e-06,146.64448023888104
4.195459032583133e-06,146.91797998058038
4.236590983882679e-06,148.3567158462591
4.277722935182224e-06,149.08073279834898
4.31885488648177e-06,149.3570545186155
4.359986837781315e-06,150.80481718806686
4.401118789080861e-06,151.5346388267457
4.442250740380406e-06,151.80827032182737
4.483382691679952e-06,153.26751164293438
4.524514642979497e-06,154.00056718873768
4.5656465942790425e-06,155.0044050273256
4.606778545578588e-06,155.740395549407
4.647910496878133e-06,156.4760457002714
4.689042448177679e-06,157.48476945773623
4.730174399477224e-06,158.2231767221336
4.77130635077677e-06,159.70678402690373
4.812438302076315e-06,159.97847763030163
4.853570253375861e-06,160.72016146645407
4.894702204675406e-06,162.21372084694696
4.935834155974952e-06,162.48699322103826
4.976966107274497e-06,163.98522108771328
5.0180980585740425e-06,164.73485079919888
5.059230009873588e-06,165.0077746458591
5.100361961173133e-06,166.51435159514784
5.141493912472679e-06,166.78445865454222
5.182625863772224e-06,167.53973024535085
5.22375781507177e-06,169.05210805658493
5.264889766371315e-06,169.32320715354106
5.306021717670861e-06,170.8411311974784
5.347153668970406e-06,171.6014957914613
5.388285620269952e-06,171.87714769814556
5.429417571569497e-06,173.4004601878763
5.4705495228690425e-06,174.16621767436516
5.511681474168588e-06,175.20755740236334
5.552813425468133e-06,175.97432020347532
5.593945376767679e-06,176.74366927982123
5.635077328067224e-06,177.78660159497048
5.67620927936677e-06,178.55780981914347
5.717341230666315e-06,180.1003003495208
5.758473181965861e-06,180.37608833222976
5.799605133265406e-06,181.14927370185822
5.840737084564952e-06,182.69942247801856
5.881869035864497e-06,182.9766189092016
5.9230009871640425e-06,183.7518291634598
5.964132938463588e-06,185.3098502458001
6.005264889763133e-06,185.58920548574628
6.046396841062679e-06,187.1508293557542
6.087528792362224e-06,187.43025464669884
6.12866074366177e-06,188.21144305922206
6.169792694961315e-06,189.77919270199249
6.210924646260861e-06,190.05754119222806
6.252056597560406e-06,191.62917701001467
6.293188548859952e-06,192.41506459746375
6.334320500159497e-06,192.69689404327528
6.3754524514590425e-06,194.27268065056973
6.416584402758588e-06,195.06236116478433
6.457716354058133e-06,196.13856476626546
6.498848305357679e-06,196.92913783028592
6.539980256657224e-06,197.72263103373507
6.58111220795677e-06,198.8006199072311
6.622244159256315e-06,199.59524616856206
6.663376110555861e-06,200.39026183720551
6.704508061855406e-06,201.4713856774703
6.745640013154952e-06,202.2679893089035
