time_s,position_error_m,momentum_error
4.894702204675406e-06,2.0565746582326025e-05,9.675541115611222e-06
4.935834155974952e-06,1.8318916759857826e-05,2.7298364925390686e-06
4.976966107274497e-06,1.9403009222191015e-05,2.418326318208221e-07
5.0180980585740425e-06,1.9791597756629613e-05,3.3232795899989e-07
5.059230009873588e-06,1.765113991722091e-05,8.884998011674847e-06
5.100361961173133e-06,2.1097589506046823e-05,9.700629563240985e-06
5.141493912472679e-06,1.7683804785038744e-05,8.41540384450442e-07
5.182625863772224e-06,2.0461906070981938e-05,4.28385975341034e-07
5.22375781507177e-06,1.9778297533805786e-05,2.8352149566682806e-06
5.264889766371315e-06,1.911750127462582e-05,9.693709019063105e-06
5.306021717670861e-06,2.164286892916862e-05,2.3000015675480204e-06
5.347153668970406e-06,1.8672811358550526e-05,6.657679272899768e-07
5.388285620269952e-06,2.24571143179396e-05,3.6576394704001684e-07
5.429417571569497e-06,2.072299353002383e-05,1.0161913757020939e-05
5.4705495228690425e-06,2.042814426702765e-05,1.03051070496059e-05
5.511681474168588e-06,2.2019864755584523e-05,3.72723939030876e-07
5.552813425468133e-06,2.030789165694726e-05,4.62216247572408e-07
5.593945376767679e-06,2.2169126546658698e-05,3.38185580520148e-06
5.635077328067224e-06,2.0460161079822722e-05,1.0316517566770763e-05
5.67620927936677e-06,2.1537190600812342e-05,2.4346155555888824e-06
5.717341230666315e-06,2.0920645035471728e-05,3.984315084099462e-07
5.758473181965861e-06,2.1411435582764155e-05,5.036056049911667e-07
5.799605133265406e-06,2.1789108614383398e-05,1.0533903718605731e-05
5.840737084564952e-06,2.051726005457638e-05,1.038945260152876e-05
5.881869035864497e-06,2.226792029672368e-05,3.708903778263165e-07
5.9230009871640425e-06,2.1216890878145886e-05,4.4104899247382255e-07
5.964132938463588e-06,2.2748862038547674e-05,3.927521710919723e-06
6.005264889763133e-06,2.1784221199479083e-05,1.0805975116597588e-05
6.046396841062679e-06,2.1793021605481977e-05,2.62619384268403e-06
6.087528792362224e-06,2.2879740781638368e-05,4.4699002755573297e-07
6.12866074366177e-06,2.1761758626068256e-05,7.258419930587084e-07
6.169792694961315e-06,2.3360638872893485e-05,1.1255097763339167e-05
6.210924646260861e-06,2.1777928385654467e-05,1.0947266680013395e-05
6.252056597560406e-06,2.319653007576707e-05,4.266850210771028e-07
6.293188548859952e-06,2.250997200664611e-05,4.474340053841804e-07
6.334320500159497e-06,2.3031736624852048e-05,4.473317843348116e-06
