time_s,position_error_m,momentum_error
7.198091477457704e-07,1.4335171643674458e-06,6.432273230641347e-07
7.40375123395649e-07,1.500835140526519e-06,4.2210936323745124e-08
7.609410990455276e-07,1.4702672531229365e-06,5.561480089894837e-07
7.815070746954062e-07,1.4610801031751632e-06,1.6998794148653834e-07
8.020730503452848e-07,1.3916331685492388e-06,6.236683304608239e-08
8.226390259951634e-07,1.492351072621129e-06,6.932588564903472e-07
8.43205001645042e-07,1.7260607200607925e-06,4.546200302113985e-08
8.637709772949206e-07,1.7343070058132551e-06,2.023149290495584e-07
8.843369529447992e-07,1.6541230626412967e-06,5.280281322286704e-07
9.049029285946778e-07,1.711513990614894e-06,1.9397398814097953e-08
9.254689042445564e-07,1.8232733278886562e-06,8.382179944769238e-07
9.460348798944351e-07,1.79413223895932e-06,4.636710361731372e-08
9.666008555443803e-07,1.7452453652644491e-06,1.0339274913199139e-07
9.871668311943647e-07,1.8327579382143382e-06,8.430485903346288e-07
1.0077328068443492e-06,1.8247966966349428e-06,2.386853750093345e-08
1.0282987824943337e-06,1.8617063453264638e-06,8.628332562019582e-07
1.0488647581443182e-06,1.9707361261814688e-06,8.570449008369296e-08
1.0694307337943027e-06,2.0546183837548542e-06,4.9203906781281484e-08
1.0899967094442872e-06,1.9875784713276414e-06,9.294733566679019e-07
1.1105626850942717e-06,2.0198750511354128e-06,4.081283571286269e-08
1.1311286607442561e-06,2.2170546800474777e-06,8.528062126429005e-07
1.1516946363942406e-06,2.36878373434356e-06,2.1930080457194803e-07
1.1722606120442251e-06,2.3572417127427193e-06,1.3699072297187017e-08
1.1928265876942096e-06,2.2307579112090242e-06,1.0610501381787035e-06
1.213392563344194e-06,2.178667603034624e-06,6.578433986280671e-08
1.2339585389941786e-06,2.2736306071670123e-06,3.093674021552654e-07
1.254524514644163e-06,2.6298117069334635e-06,8.728745603026556e-07
1.2750904902941475e-06,2.6940489778905303e-06,2.6185780370001888e-08
1.295656465944132e-06,2.4624410834769854e-06,1.1361464871541975e-06
1.3162224415941165e-06,2.2595635875852897e-06,1.0839913545079835e-07
1.336788417244101e-06,2.3816353196404608e-06,1.657717116467321e-07
1.3573543928940855e-06,2.6938528188431293e-06,1.2041840497762973e-06
1.37792036854407e-06,2.950046192919136e-06,5.125508704059503e-08
1.3984863441940545e-06,2.932890366697474e-06,1.2951582997981008e-06
1.419052319844039e-06,2.5142475496101373e-06,1.758141378975855e-07
1.4396182954940234e-06,2.5671611690312985e-06,1.339547171734078e-07
